100506327	766985	778984
100506482	1658824	1661616
100128003	2120482	2125024
100133445	2555769	2557011
100505935	6913112	6948262
100506116	11839880	11849642
653606	18521	23071
391001	12259217	12264251
100507192	15898188	15898874
729587	35407	36061
100506168	35641975	35648082
100507198	42312860	42337890
100507268	43258500	43263860
100506711	43681027	43719862
149469	43855556	43872565
100505857	91485753	91487282
100132733	91421	95499
728939	3832	12155
100505752	146373555	146384529
100505770	146466801	146467744
728912	147574323	147624601
100505885	147900095	147904683
728936	148739442	148758311
642441	150974652	150976581
100505765	156379749	156382685
100505785	157995345	158001611
100287049	160231518	160232568
100505665	160231518	160232567
100505773	163214295	163278367
100505860	166868438	166884331
100506087	174933905	174964445
100506230	179810050	179811348
100506438	192981499	192982245
100507405	203005844	203015635
100506969	205577071	205581963
574431	206664449	206671061
100288102	223983032	223992644
100506460	227084589	227091365
100130093	227728539	227734377
284702	244840638	244846941
100130097	246770907	246839587
100507213	11564124	11573496
283070	12833133	12835545
100507281	14607109	14608832
414308	17851362	17953178
100289299	18041262	18085490
100169750	24536051	24544975
221016	32735041	32863492
642424	39204289	39206155
653129	43590730	43596824
728053	43571617	43573485
728127	42697401	42701386
244	43018083	43029984
728449	47768351	47770876
55747	45861360	45883269
653110	48277508	48277993
653252	1946	12988
100133190	88725498	88731068
100127889	95907965	95938658
26148	96981284	96985828
100128300	99627889	99631335
100505670	102826056	102827888
100506209	134682741	134740999
255352	134742689	134756089
100288692	89189	127047
692247	556958	560113
100506518	777577	784298
387267	97515	98873
100289201	16802078	16808009
645490	20557855	20596678
100506627	30863603	30992686
100506702	32877550	32891934
100505897	42209293	42275552
100507338	45234632	45236295
100506773	58766447	58830671
100505504	66060797	66068662
100506020	72411519	72416889
100287837	73018280	73020406
100506644	93459816	93461923
643923	107591745	107593223
100128095	132526971	133402733
646543	133778459	133782257
100507301	91974	93419
100507424	2836816	2859795
100506112	8929813	8935691
100506529	26164711	26173442
100506072	40936368	40964554
144438	49082245	49086229
283401	52203789	52206648
100506719	56594732	56596858
374467	94100238	94331266
100506570	118570053	118583387
100288312	125394083	125397359
100507040	30890497	30894040
26636	42005476	42006140
100507293	26790272	26792039
100507612	74805581	74834113
100288208	74987094	74993252
100505494	111551120	111554449
440157	19300164	19303582
100506616	19894255	19894596
100505493	21668620	21675059
100499441	38170556	38264576
117153	39233921	39253371
100506499	50007313	50039884
100506290	65360937	65362009
100506517	74523635	74526720
79686	95407266	95410090
100288144	105057201	105058840
28472	86680235	86680673
28451	25991	26561
28396	106349283	106349720
646057	20192722	20193370
339010	166911	198318
100506965	25272883	25281637
100507514	29059180	29078587
100289637	30375164	30376856
642397	30763343	30776766
100506959	33441985	33486897
646670	73047387	73059967
100506846	79505439	79576156
727751	65105	96613
100133144	82355068	82416003
727849	83140199	83182930
100131297	91574939	91575667
100506727	93422187	93441977
100506754	96826126	96870409
145757	100860459	100873990
100272148	102382322	102390527
100287598	8977630	8981631
84127	12070602	12147141
100506151	15820693	15826822
100506442	22096452	22098855
100506587	23681332	23684448
388237	28355589	28367922
100506928	28051801	28071386
100289290	3216	3641
401847	30229162	30229709
100507577	48355685	48362999
100302738	62187540	62187646
100505926	66922667	66924184
729513	70253484	70259936
100507666	74411872	74426013
654780	84226164	84230659
100129637	87698146	87703017
100506202	89262565	89266726
100506359	90240038	90242190
100288728	3038263	3080223
100507087	17091994	17098150
100506461	27875426	27878922
400590	25561941	25573221
6349	250577	252466
388372	266611	268581
100505522	36561160	36561846
100507628	40178915	40190044
100505859	40870996	40871839
201175	43506718	43510282
401884	45620329	45637963
100506500	48187384	48188759
100131091	54909818	54911332
645460	57989038	57996040
100506961	62396775	62398041
100507304	75440786	75444581
100507494	74553765	74554439
100289105	80214131	80216080
100505970	80383374	80385186
100506001	80439974	80441264
100505608	110945	114801
403340	54857	57966
100287188	51138	51684
644767	79598624	79601286
100505523	669392	671034
85019	23237252	23437969
100507649	52560312	52562747
100506109	77897720	77910665
100506781	1300268	1325068
100507551	17611431	17613273
100505842	34960845	34962157
100505639	39087562	39092513
11026	270964	275379
100506584	58816743	58827023
100287457	21917	36449
3813	58332	72919
57292	46835	56299
3810	30000	44436
3806	13877	27891
100132285	122955	137265
100506203	147649	156319
100505603	28999	33288
100505793	34630	50270
391343	903553	906820
100505911	39219420	39220432
100130502	44921080	44923619
440862	46646860	46699889
100507148	74090216	74100783
100507238	85770915	85773392
90784	86020216	86023868
100505546	111001078	111024136
729468	113541191	113570962
100507460	131677788	131699863
100506904	128056666	128059925
151162	135206960	135212192
642340	150443872	150704748
100505695	171627604	171634757
100506147	171627623	171634757
100505748	202937978	202974430
100505800	216485949	216692164
100505597	233386725	233389497
100505579	16531778	16533427
100505632	20370203	20371208
400841	29513582	29521213
100506597	31073767	31124451
284804	31136309	31173628
554250	34020829	34023278
100240726	45092299	45093931
100128310	60292562	60294804
400850	62231960	62236299
149650	57989666	57992264
85318	11020842	11058323
574	552	2425
100505852	13095785	13157061
54094	13843133	13848364
400863	33947934	33965164
400870	44343541	44348600
100129890	45566604	45593580
246704	46723031	46724422
100506204	17592065	17593667
100506261	18572581	18574100
100506309	18660793	18666534
100287541	18855105	18861785
100506454	18998106	19031229
100506954	20639724	20656782
100132705	21583283	21584487
100507089	21822094	21824445
100286925	22292609	22297806
391322	267292	268218
2952	270308	278486
653399	280113	296074
100131530	37986170	37988153
100506375	39348756	39359188
100506544	41605126	41613631
100506588	41994032	41996703
100506900	51061182	51062326
100507618	9435634	9438752
100505673	14961857	14989931
729756	46811532	46812558
100506738	49822913	49823705
151877	65872814	65954611
100506815	71619425	71623608
