Gene	array1	array2	array3	array4	array5	array6	array7	array8	array9	array10	array11	array12	array13	array14	array15	array16	array17	array18	array19	array20
1	-0.529429744912541	-0.62711493941425	-0.00546469966541707	-2.42301085941336	-0.657982679790343	-0.909617135478308	-1.25394966489820	-1.39288734538153	-1.01673005949661	-2.20245157052148	-0.947486859157926	-0.855249659824363	-0.084941564123655	1.05479355930163	5.1583732613002	7.01428535424452	8.84324166530056	9.31377359591787	9.12809139643821	7.70053539589683
2	-0.858922204347064	-1.57573690129497	-0.0108596445454783	-0.00841949915474538	1.54200441795437	-0.587046332837275	-0.125649847222015	-0.55085958623661	-2.12120879542571	0.898433231176504	1.13889126006123	-2.33131599015839	-1.1818914325232	0.809613035932994	4.41400235969256	6.20714394096779	8.59557541233725	8.76214420012906	8.63762957695845	11.1697310367506
3	1.19146849495254	0.539879913262733	-0.280607569674232	1.37770556998029	-1.12748326525333	2.30995572403608	-1.15281635631551	-1.34510951115545	1.34761716624004	-0.574187139380853	-0.355565840044012	0.409667020041773	1.56862303098907	1.14983956064593	4.95956547461006	8.45412231717566	10.4725465284778	12.3118296916325	11.1150628282609	11.2619075336031
4	0.995520687827248	2.47085296409949	2.48064504657746	-0.90014251551356	2.56787571605247	-0.0597427326655062	-0.486567908821735	0.120633353959076	1.82356653407234	3.30505539329196	1.30255184941312	2.62758228266054	3.85326836416314	4.48307860366694	5.99892644112237	9.33281137886238	9.90120296405048	10.4773513831243	9.6321005224654	12.4393952445045
5	1.95088299243562	-1.20246638174975	-0.446260468984556	-0.56097879479224	-1.5625071321287	-0.94720682684516	1.795681527982	1.01335931823367	1.00319178774671	1.69913616425721	1.13495848611110	0.95734004255761	3.63721725007346	2.21439854047835	5.29735674475184	8.15236097096257	10.7843052024404	9.56562611599769	10.1932438313118	9.23091199640038
6	-0.19587899335344	0.895956354551408	0.974850626581048	1.69249148201862	1.00206188970134	0.480591748708541	2.66047704115329	1.26991523243742	2.08041261683758	-0.181311379701692	1.61943039658609	-0.931942822692414	1.42169940672755	3.38294774545045	5.36498156701953	8.83958531552953	10.0872135281655	9.82995678655462	9.81644439236952	10.9935643802849
7	1.57751097954416	0.621731488400321	0.915236915840731	2.13404524177295	-0.367660251623705	1.34380230656331	0.360862228472068	1.66480662096793	-0.207479459212930	1.16988291742222	0.729480001316288	1.37537871640992	1.9325174685931	2.78462252635785	8.15970707874179	10.0580719232634	10.6903521722477	9.07945084749035	10.1643891203746	10.3777228704090
8	-0.769701437427987	-2.42384139397099	-2.56056373809860	-2.24412806401093	-1.58669557615787	-2.31507433820685	-2.35973395452454	-1.0926557587428	-3.08476887482012	-0.653759666802787	-3.05724937021608	-0.310013016090065	-0.71550734346492	0.00571652324775807	1.86402397618629	5.59626439723932	7.44645875044063	7.54705746387082	8.1180250848488	9.08104324705423
9	1.53216452840725	0.739305172108	-2.49945063917399	-1.53959506462935	-1.3290395983149	-0.854576346873804	-0.568128456539427	-0.236693158171945	-0.318803082827907	-1.50657118680351	-1.74639056537454	0.0151432656063554	0.703872447042124	1.57768636595590	5.03214566165819	6.5012149823483	9.13197600970365	9.29404619394267	9.46461964275908	8.94915067913254
10	-0.402795488666061	-0.624758738281102	-2.70604828851438	-1.66951767238429	-2.68498356276849	-1.24411433514063	-2.61528015379997	-2.22668032557887	-1.01749862699391	0.502536373536877	-2.9792802830288	-0.431933154600049	-0.300676842801245	2.06486571147439	1.87632947248584	7.7604472971878	8.18417086225496	7.50299452250809	8.57899051000208	8.76706694235961
11	0.393502946646892	0.0543932814910291	0.779370574312548	2.9394489925361	4.76237249892163	7.0926600881859	8.39247150998967	8.65368966323363	12.2746591181890	10.9084553841603	0.869124836984799	-1.78597336712413	-1.19257457012122	-2.00096063309890	-5.44838902471107	-9.707188009069	-8.39485107957373	-8.69082916143152	-8.4401662235076	-11.9884870062862
12	0.0660580641973924	0.425050449942718	-0.188425713191796	1.51747347905034	4.08854543362663	8.40655028522405	9.76340779398787	10.9984454884109	10.8859527721715	10.3135933265110	-0.361380850519064	-0.110555426363289	-1.12429355138150	-3.96967198771052	-3.17467336341043	-8.1651633750381	-8.75544858869337	-9.18429585910772	-8.80904874737425	-8.80625602681749
