Gene	array1	array2	array3	array4	array5	array6	array7	array8	array9	array10	array11	array12	array13	array14	array15	array16	array17	array18	array19	array20
1	-0.529429745	-0.627114939	-0.0054647	-2.423010859	-0.65798268	-0.909617135	-1.253949665	-1.392887345	-1.016730059	-2.202451571	-0.947486859	-0.85524966	-0.084941564	1.054793559	5.158373261	7.014285354	8.843241665	9.313773596	9.128091396	7.700535396
2	-0.858922204	-1.575736901	-0.010859645	-0.008419499	1.542004418	-0.587046333	-0.125649847	-0.550859586	-2.121208795	0.898433231	1.13889126	-2.33131599	-1.181891433	0.809613036	4.41400236	6.207143941	8.595575412	8.7621442	8.637629577	11.16973104
3	1.191468495	0.539879913	-0.28060757	1.37770557	-1.127483265	2.309955724	-1.152816356	-1.345109511	1.347617166	-0.574187139	-0.35556584	0.40966702	1.568623031	1.149839561	4.959565475	8.454122317	10.47254653	12.31182969	11.11506283	11.26190753
4	0.995520688	2.470852964	2.480645047	-0.900142516	2.567875716	-0.059742733	-0.486567909	0.120633354	1.823566534	3.305055393	1.302551849	2.627582283	3.853268364	4.483078604	5.998926441	9.332811379	9.901202964	10.47735138	9.632100522	12.43939524
5	1.950882992	-1.202466382	-0.446260469	-0.560978795	-1.562507132	-0.947206827	1.795681528	1.013359318	1.003191788	1.699136164	1.134958486	0.957340043	3.63721725	2.21439854	5.297356745	8.152360971	10.7843052	9.565626116	10.19324383	9.230911996
6	-0.195878993	0.895956355	0.974850627	1.692491482	1.00206189	0.480591749	2.660477041	1.269915232	2.080412617	-0.18131138	1.619430397	-0.931942823	1.421699407	3.382947745	5.364981567	8.839585316	10.08721353	9.829956787	9.816444392	10.99356438
7	1.57751098	0.621731488	0.915236916	2.134045242	-0.367660252	1.343802307	0.360862228	1.664806621	-0.207479459	1.169882917	0.729480001	1.375378716	1.932517469	2.784622526	8.159707079	10.05807192	10.69035217	9.079450847	10.16438912	10.37772287
8	-0.769701437	-2.423841394	-2.560563738	-2.244128064	-1.586695576	-2.315074338	-2.359733955	-1.092655759	-3.084768875	-0.653759667	-3.05724937	-0.310013016	-0.715507343	0.005716523	1.864023976	5.596264397	7.44645875	7.547057464	8.118025085	9.081043247
9	1.532164528	0.739305172	-2.499450639	-1.539595065	-1.329039598	-0.854576347	-0.568128457	-0.236693158	-0.318803083	-1.506571187	-1.746390565	0.015143266	0.703872447	1.577686366	5.032145662	6.501214982	9.13197601	9.294046194	9.464619643	8.949150679
10	-0.402795489	-0.624758738	-2.706048289	-1.669517672	-2.684983563	-1.244114335	-2.615280154	-2.226680326	-1.017498627	0.502536374	-2.979280283	-0.431933155	-0.300676843	2.064865711	1.876329472	7.760447297	8.184170862	7.502994523	8.57899051	8.767066942
11	0.393502947	0.054393281	0.779370574	2.939448993	4.762372499	7.092660088	8.39247151	8.653689663	12.27465912	10.90845538	0.869124837	-1.785973367	-1.19257457	-2.000960633	-5.448389025	-9.707188009	-8.39485108	-8.690829161	-8.440166224	-11.98848701
12	0.066058064	0.42505045	-0.188425713	1.517473479	4.088545434	8.406550285	9.763407794	10.99844549	10.88595277	10.31359333	-0.361380851	-0.110555426	-1.124293551	-3.969671988	-3.174673363	-8.165163375	-8.755448589	-9.184295859	-8.809048747	-8.806256027
13	-5.802209551	-3.969128035	-2.90203966	-2.732421433	1.121188675	4.236928397	5.185347276	4.534845	6.301448447	5.797020285	-3.44714612	-6.543528364	-6.042856621	-6.289311028	-8.224686801	-12.04835303	-14.56262419	-13.21268849	-14.94373144	-14.63924108
14	-1.544766475	-2.187171756	-0.557765348	0.853953071	1.949503207	6.763355128	7.23602215	7.023998498	7.943269801	9.537106561	-0.185640859	-1.923870575	-2.042404906	-3.189134271	-6.228969003	-10.49359029	-11.30476247	-10.49365852	-9.74895924	-12.16067476
15	1.280106994	-0.498398863	2.342901306	2.169909254	5.395153231	9.279287653	7.323678275	11.80635925	9.024094474	9.523974657	0.078743881	-0.363300291	-1.144569166	-2.263360321	-4.526490758	-7.451615774	-8.994875868	-10.07315123	-9.489304558	-10.41985523
16	-0.23783477	1.119413973	-0.099731805	0.575276477	2.86056128	7.827023044	8.70687862	7.925136515	9.751474047	8.221225602	0.761032982	0.743904048	-3.548218943	-4.008164522	-6.018868014	-8.146524472	-9.702272363	-10.68318725	-10.16255995	-10.00110272
17	7.121654869	6.726739805	8.027895829	8.597144944	12.00980525	13.2028354	16.04036816	15.6478177	16.00582361	15.28310201	6.084936653	3.962211247	3.269216694	3.633505256	1.288725866	-2.485057834	-3.560127313	-3.555667285	-3.931557359	-5.732063361
